description,calories,protein,carbs,fat
"Chicken fillet sandwich, NFS with Quinoa, no added fat and Black beans, NFS",685.2,28.7,85.5,25.4
"Chili with chicken with Bacon, lettuce, tomato sandwich on white and Crab salad made with imitation crab with Macaroni or noodles with cheese, Easy Mac type",578.1,32.3,45.7,29.5
"Fish, tuna, NFS with Egg salad sandwich on white and Tuna salad sandwich on white, with cheese with Peanuts, boiled",689.6,45.2,42.1,37.9
"Tuna salad with cheese with Salami sandwich on white and Burrito bowl, chicken, with beans and rice",703.7,40.3,38.9,42.6
"Chicken breast, sauteed, skin eaten with Grilled cheese sandwich, NFS and Soup, bean with Tuna salad sandwich on white, with cheese",614.5,41.9,39.5,31.5
"Fish, salmon, canned with Tuna salad sandwich on wheat and Spinach, creamed with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",419.1,42.7,19.0,19.3
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Cheeseburger (Burger King) with Caesar salad, with romaine, no dressing",524.9,34.0,44.1,23.6
"Chicken or turkey salad with egg with Soup, chicken noodle, canned and Nachos, with beans with Macaroni or pasta salad with cheese",700.3,30.4,46.1,44.4
"Soup, chicken noodle, canned, condensed with Ham sandwich wrap and Fish, tuna salad with Tuna salad sandwich on wheat, with cheese",537.0,36.4,41.1,24.8
"Ham, ground with Salami sandwich on wheat and Chicken salad spread with Grilled cheese sandwich, American cheese, on white bread",718.2,44.6,37.1,42.5
"Rice, fried, with chicken with Tuna salad sandwich on white, with cheese and Chicken salad sandwich on wheat",672.6,32.5,64.7,31.5
"Chicken fillet sandwich, fried, on wheat bun with Soup, chicken noodle, canned",404.7,20.6,43.3,16.6
"Enchilada, chicken with Burrito bowl, chicken, with rice and Lobster salad",702.6,45.3,42.2,38.5
"Chickpeas, from canned, no added fat with Meatball sandwich or sub and Chicken salad spread",653.8,37.1,54.6,32.0
"Ham, turkey, sliced, extra lean, prepackaged or deli with Roll, multigrain",434.2,34.4,46.2,13.4
"Egg, whole, boiled or poached with Burrito bowl, chicken, with rice with Burrito, chicken, cheese",426.0,33.6,29.4,18.7
"Ham, ground with Club sandwich on white, with cheese and Taco or tostada salad, meatless with Macaroni or noodles with cheese, Easy Mac type",557.1,35.4,47.6,24.6
"Fish, tuna, canned with Chicken fillet sandwich, fried, on wheat bun and Caesar salad, with romaine, no dressing",456.3,41.2,34.9,16.8
"Pastrami, turkey with Chicken fillet sandwich, NFS and Spinach, raw",404.7,31.2,27.5,18.1
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Club sandwich on wheat and Kidney beans and brown rice with Grilled cheese sandwich, American cheese, on white bread",444.2,28.1,43.6,17.9
"Egg, whole, boiled or poached with Rice, fried, with chicken with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",460.8,26.8,46.5,18.5
"Sushi, topped with egg with Cheeseburger (McDonalds) and Taco or tostada salad with meat with Grilled cheese sandwich, American cheese, on wheat bread",694.3,33.5,62.6,34.6
"Burrito bowl, chicken with Falafel sandwich and Bacon, lettuce, tomato sandwich on white with Cheeseburger, NFS",619.6,44.1,42.9,29.6
"Chicken salad sandwich wrap with Club sandwich on wheat and Soup, bean, canned, reduced sodium with Grilled cheese sandwich, cheddar cheese, on white bread",686.2,37.2,55.9,34.8
"Sushi, topped with egg with Sushi roll, salmon and Black bean sauce",412.3,21.1,44.6,16.5
"Fish, salmon, fried with Turkey sandwich on wheat and Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",501.5,36.1,31.7,24.8
"Fish, tuna, cooked with Flavored pasta and Tuna salad sandwich on wheat, with cheese",648.0,53.1,42.7,28.5
"Chicken breast, rotisserie, skin eaten with Cuban sandwich and Black beans and brown rice with Peanuts, boiled",636.4,54.3,43.3,27.5
"Soup, chicken noodle, canned, condensed with Salami sandwich on wheat and Soup, tomato",366.3,18.0,33.6,17.6
"Ham, canned with Roll, white, hoagie, submarine with Cheeseburger (McDonalds)",590.1,35.0,72.2,16.9
"Rice, fried, with chicken with Cheeseburger slider and Kidney beans and white rice",598.9,29.3,69.1,22.2
"Chicken breast, rotisserie, skin eaten with Burrito bowl, beef or pork, with rice",514.4,54.4,21.5,22.7
"Burrito bowl, chicken, with beans with Hamburger (Burger King)",473.7,33.4,39.8,19.6
"Chicken breast, sauteed, skin eaten with Turkey and ham sandwich on wheat and Soup, bean, canned",390.5,39.5,23.7,14.5
"Fajita, shrimp with Quinoa, cooked and Kidney beans and brown rice with Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",542.8,23.8,71.3,18.0
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties) with Reuben sandwich and Soup, bean, canned with Club sandwich on wheat, with cheese",497.6,21.5,49.3,23.8
"Burrito bowl, chicken, with rice with Cheeseburger (Burger King) with Burrito, cheese only",481.4,29.2,43.7,20.3
"Sushi roll tuna with Grilled cheese sandwich, American cheese, on wheat bread",382.9,18.5,39.1,16.5
"Turkey ham, prepackaged or deli, luncheon meat with Pasta, cooked and Kidney beans and white rice",507.4,30.3,72.4,9.8
"Veggie burger patty, no bun with Bread, pita with McDONALD'S, Cheeseburger",467.9,27.0,65.9,10.4
"Soup, lentil, canned with Salami sandwich on wheat",352.6,18.1,30.1,17.6
"Veggie burger, on bun, with cheese with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",592.9,32.4,60.6,24.3
"Shrimp scampi with Roll, white, hoagie, submarine and Taco or tostada salad, meatless",747.9,34.0,84.6,29.8
"Ham, turkey, sliced, extra lean, prepackaged or deli with Cheeseburger, NFS",426.3,41.8,16.4,21.1
"Turkey, drumstick, roasted, skin not eaten with Sushi roll, vegetable and Chicken salad sandwich on wheat with Cheeseburger slider",648.0,53.1,46.2,27.5
"Tuna salad sandwich wrap with Sushi roll tuna and Soup, cream of tomato",507.7,23.9,45.6,25.2
Turkey and ham sandwich on wheat with Turkey sandwich on white and Taco or tostada salad with chicken,650.7,39.5,73.8,22.0
"Hamburger, NFS with Grilled cheese sandwich, NFS and Greek Salad, no dressing",503.7,22.9,40.1,27.7
"Sushi roll, shrimp with Pizza rolls",440.3,17.0,68.4,10.4
"Turkey with gravy with Sandwich wrap, NFS and Spinach, creamed with Grilled cheese sandwich, American cheese, on white bread",476.6,39.4,30.2,20.9
"Turkey, prepackaged or deli, luncheon meat, reduced sodium with Veggie burger, on bun with Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",395.7,33.1,38.6,11.4
"Lentils, NFS with Hamburger (Burger King) and Burrito bowl, with beans with Grilled cheese sandwich, cheddar cheese, on wheat bread",674.1,35.0,70.7,28.4
"Chicken tenders or strips, breaded, from restaurant with Falafel sandwich and Beans, liquid from stewed kidney beans with Macaroni or pasta salad with cheese",676.6,34.7,48.8,38.2
"Chicken breast, grilled with sauce, skin eaten with Meatball sandwich or sub and Kidney beans and brown rice",478.2,35.5,38.9,19.3
"Chicken salad sandwich wrap with Burrito bowl, beef or pork, with beans and rice and Soup, bean with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",572.5,35.0,42.5,28.9
"Chickpeas, from canned, reduced sodium with Hamburger slider and Taco or tostada salad with meat",627.8,31.0,54.7,31.7
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Cheeseburger (Burger King) and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",682.6,42.3,51.4,34.1
"Chicken, meatless, breaded, fried with Quinoa, cooked and Black beans, NFS with Tuna salad with cheese",607.0,37.6,54.5,26.9
Lentil curry with Salami sandwich on white and Tuna salad with cheese,693.7,33.4,33.1,47.9
"Taco or tostada salad with chicken and sour cream with Ham sandwich or sub, restaurant and Taco or tostada salad, meatless with Grilled cheese sandwich, cheddar cheese, on wheat bread",683.6,29.4,71.0,31.7
"Chicken fillet wrap sandwich, fried, from fast food with Rice, fried, with beef and Soup, bean, with meat with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",743.3,35.1,84.6,29.5
"Soup, chicken noodle, canned with Chicken salad sandwich wrap and Spinach salad, no dressing with Greek Salad, no dressing",363.3,21.4,24.0,20.0
"Ham, turkey, sliced, extra lean, prepackaged or deli with Reuben sandwich and Black beans, NFS",638.9,43.0,41.2,33.9
"Chicken fillet sandwich, fried, on wheat bun with Cheeseburger slider with Tuna salad sandwich on white, with cheese",683.9,36.9,55.7,34.2
"Ham sandwich wrap with Cheeseburger (Burger King) with Burrito, chicken, cheese",531.8,29.3,50.7,22.9
"Ham, canned with Burrito bowl, beef or pork, with rice with ON THE BORDER, cheese quesadilla",479.0,38.8,24.5,23.9
"Chicken breast, rotisserie, skin eaten with Falafel sandwich and Pea salad with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",606.3,39.5,30.7,36.3
"Fish, tuna salad with Tuna salad sandwich wrap with Caesar salad, with romaine, no dressing",443.0,30.1,26.3,23.8
"Turkey sandwich wrap with Bread, pita and Soup, tomato with Cobb salad, no dressing",649.3,30.9,92.4,16.6
"BURGER KING, Hamburger with Sushi roll, shrimp with Peanuts, boiled",366.8,21.7,42.2,12.2
"Chickpeas, from canned, no added fat with Burrito bowl, beef or pork, with beans and rice and Tuna salad sandwich on wheat with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",709.7,43.8,63.5,31.5
"Salami, cooked, turkey with Bacon, lettuce, tomato sandwich on white",401.5,33.2,25.2,17.7
"Turkey with gravy with Quinoa, fat added and Caesar salad, with romaine, no dressing",433.7,34.2,38.1,15.3
"Soup, miso or tofu with Cheeseburger (McDonalds) and Black bean sauce with McDONALD'S, Cheeseburger",514.4,25.1,50.7,24.4
"Chicken breast, sauteed, skin eaten with Burrito bowl, chicken, with rice with Cheeseburger slider",568.3,55.6,24.8,25.7
"Turkey sandwich on white with Vegetable sandwich wrap and Black bean sauce with Tuna salad sandwich on wheat, with cheese",542.9,27.5,64.8,19.2
"Tuna salad sandwich wrap with Rice, fried, with chicken",538.7,23.0,62.5,21.7
"Burrito bowl, chicken, with beans and rice with Sushi roll, shrimp and Spinach, creamed",368.9,26.1,37.3,11.9
"Egg, whole, cooked, hard-boiled with Burrito bowl, chicken, with rice and Burrito bowl, chicken, with beans with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",485.0,40.1,24.8,24.0
"Hamburger, NFS with Hamburger, NFS with Peanuts, boiled",583.8,34.7,41.7,30.0
"Tuna salad sandwich on wheat with Bacon, lettuce, tomato sandwich on white and Crab salad with Cobb salad, no dressing",710.5,36.4,45.8,42.1
"Black beans with meat with Bread, pita with Grilled cheese sandwich, cheddar cheese, on wheat bread",463.0,21.3,61.7,14.6
"Veggie burger, on bun with Chicken salad sandwich on wheat and Soup, bean, canned",466.3,25.6,49.1,18.5
"Hamburger slider with Cheeseburger slider with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",549.7,33.5,34.9,29.6
"Egg salad sandwich on white with Hamburger (Burger King) with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",487.4,23.4,40.4,25.3
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Rice, fried, with beef with Greek Salad, no dressing",467.0,22.7,54.1,17.8
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing with Meatball sandwich or sub and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",420.1,30.2,30.9,19.4
"Black beans, NFS with Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties) and Taco or tostada salad with chicken and sour cream",627.0,27.7,81.3,21.9
"Egg salad sandwich on wheat with Sushi roll, shrimp and Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",438.4,27.4,35.3,20.1
"Ham, turkey, sliced, extra lean, prepackaged or deli with Soup, chicken noodle, canned, condensed and Black beans and brown rice with Burrito, chicken, cheese",476.5,38.3,43.2,16.8
"Soup, lentil, canned with Cuban sandwich and Crab salad",470.6,27.2,20.9,30.5
"Quesadilla, egg with Tuna salad sandwich on white and Spinach, creamed",512.7,21.7,41.2,28.8
"Turkey and ham sandwich on white with Club sandwich on white, with cheese and Bacon, lettuce, tomato sandwich on white",675.6,41.5,77.8,21.6
"Chicken fillet, grilled with Tuna salad sandwich on white and Egg salad sandwich on white",648.9,50.5,33.9,34.4
"Fajita, shrimp with Ham sandwich or sub, restaurant and Black bean sauce with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",530.9,26.4,55.4,22.6
"Chickpeas, from canned, no added fat with Roast beef sandwich on wheat and Bacon, lettuce, tomato sandwich on white with Egg, whole, cooked, hard-boiled",525.6,31.8,68.5,14.1
"Hamburger, NFS with Club sandwich or sub, restaurant with Cheeseburger slider",596.6,38.0,43.3,29.2
"BURGER KING, Chicken Strips with Grilled cheese sandwich, cheddar cheese, on white bread and Black beans with meat",730.0,38.9,58.1,38.3
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing with Cheeseburger (McDonalds) with Club sandwich on white, with cheese",372.8,29.0,30.5,15.2
"Chili with chicken with Quinoa, no added fat with Grilled cheese sandwich, cheddar cheese, on white bread",481.3,32.7,48.6,17.2
"Turkey, all classes, breast, meat and skin, raw with Meatball sandwich or sub and Greek Salad, no dressing with Cheeseburger slider",468.5,43.9,22.7,21.3
"Turkey, drumstick, roasted, skin not eaten with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Grilled cheese sandwich, cheddar cheese, on wheat bread",654.8,67.0,37.8,26.3
"Sushi roll, salmon with Reuben sandwich and Soup, tomato, canned",375.4,15.9,37.9,17.6
"Turkey, prepackaged or deli, luncheon meat with Macaroni or pasta salad with shrimp and Fish, tuna salad with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",714.7,52.2,49.4,33.1
"Macaroni or pasta salad with chicken with Gyro sandwich and Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing with Spinach salad, no dressing",557.2,32.7,51.9,23.5
"Taco or tostada salad with chicken with Veggie burger patty, no bun and Burrito bowl, beef or pork, with beans and rice with Grilled cheese sandwich, NFS",676.5,40.5,55.5,32.5
"Turkey and ham sandwich on white with Black beans and brown rice and Chicken salad spread with Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",645.6,36.8,67.7,25.1
"Chicken, fried, with potatoes, vegetable, frozen meal with Burrito bowl, beef or pork, with rice with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",453.2,30.5,33.4,21.3
"Soup, lentil, canned, reduced sodium with Bread, pita with fruit and Soup, bean, canned",351.2,12.8,70.7,2.4
"Burrito, chicken, cheese with Roll, multigrain and Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",621.0,36.5,79.8,17.8
"Ramen bowl with chicken with Burrito bowl, beef or pork, with rice and Taco or tostada salad with chicken with Greek Salad, no dressing",568.4,32.1,54.4,24.2
"Salami, cooked, turkey with Chicken salad sandwich wrap and Kidney beans with meat with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",597.3,46.6,33.4,30.2
"Turkey, retail parts, breast, meat and skin, raw with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Egg salad sandwich on white",623.6,41.8,41.8,31.8
"Egg burrito with Ham sandwich wrap with Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",433.1,23.2,37.4,20.9
"Fish, tuna, raw with Cuban sandwich and Kidney beans, NFS with Tuna salad sandwich on wheat, with cheese",499.2,55.5,29.7,16.4
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Steak sandwich or sub on wheat with Grilled cheese sandwich, cheddar cheese, on wheat bread",406.8,30.1,32.5,17.6
"Fish, tuna, raw with Grilled cheese sandwich, cheddar cheese, on wheat bread and Bacon, lettuce, tomato sandwich on white",701.5,54.9,49.9,30.4
"Soup, chicken noodle, canned, condensed with Burrito bowl, beef or pork, with rice with Cheeseburger slider",443.7,27.8,36.7,19.7
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing with Roll, white, hoagie, submarine",451.7,27.5,68.6,7.0
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing with Pasta, vegetable, cooked and Soup, bean, canned",358.2,24.7,57.8,2.9
"Fish, tuna, NFS with Turkey and ham sandwich on white and Salmon salad with Cheeseburger (Burger King)",697.6,56.6,26.9,39.6
"Turkey sandwich wrap with Roll, multigrain and Black beans with meat",679.3,32.1,91.0,21.7
"Chicken or turkey salad with egg with Tuna salad sandwich on white and Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",552.4,36.4,25.5,33.7
"Chickpeas, from canned, reduced sodium with Chicken tenders or strips, breaded, from restaurant",484.5,26.3,40.1,25.0
"Chicken breast, sauteed, skin eaten with Club sandwich on white, with cheese and Burrito bowl, beef or pork, with beans and rice with Grilled cheese sandwich, NFS",703.0,60.2,33.0,35.2
Tuna salad with egg with Turkey sandwich wrap and Pea salad,699.5,27.7,34.7,50.0
"Chicken or turkey with teriyaki with Cheeseburger (McDonalds) and Soup, tomato with Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",529.5,47.2,35.6,22.5
"Black bean salad with Chicken fillet sandwich, fried, on wheat bun and Cobb salad, no dressing",453.0,33.9,35.7,20.2
"Sushi roll, shrimp with Turkey or chicken burger, on white bun and Spinach salad, no dressing with Club sandwich on white, with cheese",587.4,47.0,50.0,21.0
"Bologna, turkey with McDONALD'S, Cheeseburger and Spinach, raw with McDONALD'S, Cheeseburger",669.4,36.0,46.8,38.4
"Turkey with gravy with Chicken fillet wrap sandwich, grilled, from fast food and Crab salad made with imitation crab",638.8,47.9,28.6,35.7
"Soup, miso or tofu with Cheeseburger slider and Chicken or turkey salad with egg",591.4,36.9,24.0,38.4
"Burrito, chicken, cheese with Rice, fried, with pork and Cobb salad, no dressing",720.3,49.1,76.4,23.9
"Lomi salmon with Gyro sandwich and Macaroni or pasta salad with chicken with Cheese, processed cheese food",703.0,38.1,61.3,33.4
"Quesadilla, chicken with Gyro sandwich and Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",606.0,38.5,54.8,25.3
"Lomi salmon with Tuna salad sandwich wrap and Chicken salad spread with Macaroni or noodles with cheese, Easy Mac type",545.9,32.8,34.2,30.6
"Chicken fillet sandwich, NFS with Bacon, lettuce, tomato sandwich on white and Black beans and brown rice",612.2,26.6,71.5,24.3
"Burrito bowl, chicken with Soup, chicken noodle with Cheeseburger, NFS",409.9,42.4,15.8,19.1
Macaroni or pasta salad with chicken with Pizza rolls and Black beans with meat,745.8,29.0,90.9,29.8
"Shrimp with lobster sauce with Roll, multigrain and Kidney beans, NFS with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",589.6,38.9,58.0,22.7
"Tuna salad with egg with Burrito bowl, chicken, with rice with Peanuts, boiled",529.9,33.5,27.9,31.7
"Quesadilla, chicken with Egg salad sandwich on wheat",552.4,25.6,44.6,29.5
